,,,,,,,,,,,,,Evidence of Tumor,,,Harvested,,,,,,,,,,,,,,,,For Survival Curves (highlighted grey if it should be excluded),,,"Tumor Classifications (1=yes, 0=no)",,,,,,,,,,Behavioral Conditions,,,Other Conditions,,,
exclude,Mouse ID (greyed out if it will be excluded from results),Shorthand Strain Name,Strain,Tyr-Cre status confirmed,Injected With,Injected By (highlighted green for variable I'm testing for),Number of Cells injected,Volume Injected (highlighted green for variable I'm testing for),Gender,TVA Status,Birth Date,Injection Date,Domed Head or Observable Tumor Date,Behavior Date,death_date,Brain_harvested,Other Organs_harvested,Behavior and Necropsy Notes,Fixed Tissue Still In Ethanol,highlighted blue,Brain Submission Date for Embedding and H&E (highlighted blue if block is useful as a control or otherwise includes a large tumor),Tumor or Other Tissue Submitted for Embedding and H&E either with the brain or separate,Brain H&E and IHC Notes,Sheri Has Seen H&E,Any hard proof of any kind of abnormal mass or enlargement after necropsy or brain H&E?,Full Slide Scan of H&E on External HD,Ki67 Result,Full Slide Scan of Ki67 on External HD,pERK Result (only listed if it was done),Full Slide Scan of pERK on External HD,Unstained Slides Available,Death Age or Current Age for Survival Curve,"Overall Survival: 1 if there was any evidence of tumor (visible, before necropsy or after IHC, behavior change or unexplained death), 0 if not","Tumor Free Survival: 1 only if there was any abnormal mass or enlargement visible upon necropsy or H&E, 0 if mouse survived to 150 days and had no tumor, exclude if death was early and no hard proof of tumor","Glioma Free Survival: 1 if a glioma (inside brain or infiltrating the brain, verified by Ki67), 0 if no observable glioma is present, exclude if H&E wasn't done or mouse was sacked before 150 days for whatever reason","Cranial Nerve Tumor? (Anything in the cranial cavity, but not necessarily infiltrating or inside the brain, most likely located under the brain)",Intracranial (glioma or outside of brain and still in skull) (Combo of previous 2),Head Tumor (outside of and connected to skull),"Lymph Node Tumor (wasn't always looking for, but noticed when they were big)",Lower Spinal Cord Tumor (unfortunatly didn't start looking for this until later),Eye Tumor (where it was clear it was the optical nerve and or involving the eye),"Auditory nerve? (Not connected to skull like head tumors, but on head and connected to skin sort of)",Cutaneous (skin somewhere on body),Rib Cage?,Lethargic/difficulty breathing/looked sick,Puffy/Full of Gas,Paralysis (from starting to drag hind legs to full on immobility),Hydrocephalus,Non tumor related reason for death,Nothing Abnormal,Found Dead
,25034-11,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/13/2020,10/14/2020,,1/4/2021,1/4/2021,yes,no,"Animal was paralyzed and therefore sacked, brain appaeared normal, slight tumor growth on outside of skull, impossible to separate from bone.",,,2/23/2021,no,no glioma observable,yes,yes,,,,,,,83,1,1,0,,,1,,,,,,,,,1,,,,
,25080-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,10/19/2020,10/19/2020,,,3/18/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25081-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,10/19/2020,10/19/2020,,,3/18/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25082-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,10/19/2020,10/19/2020,,,3/18/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25083-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,10/19/2020,10/19/2020,,,3/18/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25084-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,10/19/2020,10/19/2020,,,3/18/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25085-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,10/19/2020,10/19/2020,,,3/18/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25086-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,10/19/2020,10/19/2020,,,3/18/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25087-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,10/20/2020,10/20/2020,,,3/19/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25088-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,10/20/2020,10/20/2020,,,3/19/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25089-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,10/20/2020,10/20/2020,,,3/19/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25090-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,10/20/2020,10/20/2020,,,3/19/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25091-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,10/20/2020,10/20/2020,,,3/19/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25092-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,10/20/2020,10/20/2020,,,3/19/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25214-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/5/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,151,0,0,,,,,,,,,,,,,,,,1,
,25215-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/5/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal (not sure why Zia marked a behavior change on 2/3)",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,151,0,0,,,,,,,,,,,,,,,,1,
,25216-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/5/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,151,0,0,,,,,,,,,,,,,,,,1,
,25217-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/5/2020,11/6/2020,,,1/17/2021,no,no,I assume this was too far dead to harvest anything,,,,,,,,,,,,,,73,1,0,,,,,,,,,,,,,,,,,1
,25218-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/5/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,151,0,0,,,,,,,,,,,,,,,,1,
,25219-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/5/2020,11/6/2020,,,1/20/2021,no,no,Found dead with scabs on tail. Brain was too decomposed to harvest,,,,no,,,,,,,,,,76,1,0,,,,,,,,,,,,,,,,,1
,25220-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/5/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,151,0,0,,,,,,,,,,,,,,,,1,
,25221-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/5/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,151,0,0,,,,,,,,,,,,,,,,1,
,25238-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/6/2020,11/6/2020,2/3/2021,,3/3/2021,yes,head tumor,"Large tumor growing on head, cell line started and tissue frozen as well as formalin fixed. Slides would be good NF1 tumor control. Tissue was decalcified prior to embedding.",,1,3/26/2021,head tumor,"no glioma observable, but the head tumor is there",yes,yes,,,,,,"request 5, will have 3 remaining after H&E and IHC for just pERK",117,1,1,,,,1,,,,,,,,,,,,,
,25239-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/6/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25240-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/6/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25241-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/6/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25242-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/6/2020,11/6/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25258-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/6/2020,11/9/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25259-11,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/6/2020,11/9/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25260-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/6/2020,11/9/2020,1/20/2021,,2/1/2021,yes,no,Brain was completely hollow and swelled full of thick clear liquid and blood. No sign of tumor,,,2/23/2021,no,"no glioma observable, but tissue was all tore up due to hydrocephalus",yes,no,,,,,,,87,1,0,,,,,,,,,,,,,,1,,,
,25261-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/6/2020,11/9/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25262-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/6/2020,11/9/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25263-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/6/2020,11/9/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25264-30,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/6/2020,11/9/2020,,,4/5/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25266-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/7/2020,11/9/2020,,,4/6/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25267-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/7/2020,11/9/2020,,,4/6/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25268-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/7/2020,11/9/2020,,,4/6/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25269-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/7/2020,11/9/2020,,,4/6/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25270-11,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/7/2020,11/9/2020,,,12/5/2020,no,no,"found dead, no necropsy file found, so I think this was too decomposed to harvest anything.",,,,,,,,,,,,,,28,1,0,,,,,,,,,,,,,,,,,1
,25271-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/7/2020,11/9/2020,,,4/6/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25272-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/7/2020,11/9/2020,,,4/6/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25274-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/7/2020,11/9/2020,,,4/6/2021,yes,no,"end of experiment, looked normal",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25304-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/10/2020,11/11/2020,,,4/9/2021,yes,no,"end of experiment, looked normal",brain,,,,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25305-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/10/2020,11/11/2020,,,4/9/2021,yes,no,"end of experiment, looked normal",brain,,,,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
1,25306-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/10/2020,11/11/2020,,,3/22/2021,no,no,"found dead and must have been for a couple days. Others in cage have some scabs, so this may have been due to a fight.",,,,,,,no,,,,,,,132,,,,,,,,,,,,,,,,,,,1
,25307-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/10/2020,11/11/2020,,,4/9/2021,yes,no,"end of experiment, looked normal",brain,,,,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25308-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/10/2020,11/11/2020,,,4/9/2021,yes,no,"end of experiment, looked normal",brain,,,,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25309-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/10/2020,11/11/2020,,,4/9/2021,yes,no,"end of experiment, looked normal",brain,,,,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25310-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/10/2020,11/11/2020,,1/20/2021,1/20/2021,yes,no,"mouse was hunched over and had scabs on tail, it was required to be sacked by animal care technitian, brain looked deflated",,,3/26/2021,no,"no glioma observable, brain looks deflated",yes,no,,,,,,,71,1,0,,,,,,,,,,,1,,,1,,,
1,25327-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/13/2020,11/13/2020,,,12/18/2020,no,no,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",,,,,,,,,,,,,,35,0,0,,,,,,,,,,,,,,,,,1
,25328-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,11/13/2020,11/13/2020,,,4/12/2021,yes,no,"end of experiment, looked normal",brain,,,no,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
1,25329-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/13/2020,11/13/2020,,,12/18/2020,no,no,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",,,,,,,,,,,,,,35,0,0,,,,,,,,,,,,,,,,,1
1,25330-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/13/2020,11/13/2020,,,12/18/2020,no,no,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",,,,,,,,,,,,,,35,0,0,,,,,,,,,,,,,,,,,1
1,25331-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/13/2020,11/13/2020,,,12/18/2020,no,no,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",,,,,,,,,,,,,,35,0,0,,,,,,,,,,,,,,,,,1
1,25332-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,11/13/2020,11/13/2020,,,12/18/2020,no,no,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",,,,,,,,,,,,,,35,0,0,,,,,,,,,,,,,,,,,1
,25499-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,12/2/2020,12/3/2020,,,1/1/2021,no,no,found dead,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,1
,25500-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,12/2/2020,12/3/2020,,,1/1/2021,no,no,found dead,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,1
,25501-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,12/2/2020,12/3/2020,3/15/2021,,4/7/2021,yes,skin tumor,"tumor was just above left eye and was becoming red, as if it was ulcering or becoming irritated. Upon necropsy, tumor was observed to be connected to the skin and not the skull. It may be connected to the audible nerve as part of the tumor seamed to be very close to the ear and was fixed with part of the ear. A peice of tumor was frozen and also used for a cell line.",skin tumor,,4/8/2021,no,no glioma observable,yes,yes,,,,,,,126,1,1,0,,,,,,,1,,,,,,,,,
,25502-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,12/2/2020,12/3/2020,,,1/1/2021,no,no,found dead,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,1
,25503-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/2/2020,12/3/2020,3/4/2021,,3/4/2021,yes,no,"Brain was abnormally large and swollen but no clear sign of tumor tissue found. Mouse was sacked for extreme sickness (hunched back, skinny, barely moving - not paralyzed-)",,1,3/26/2021,no,"neurons are visible within the tumor, suggesting this is a PNST, not infiltrating, looks leptomeningeal, Ki67 positive, pERK low",yes,no,yes,positive,yes,low,,1,92,1,1,0,1,1,,,,,,,,,,,,,,
,25504-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/2/2020,12/3/2020,1/29/2021,,2/1/2021,yes,head tumor and spine tumor,"Large head tumor growing over skull. normal brain, small growth found on spine (T2), head tumor T1.  tumor frozen, cell line formed (t1) and rest formalin fixed",,,2/23/2021,"head tumor, spinal cord tumor",no glioma observable,yes,yes,,,,,,,61,1,1,0,,,1,,1,,,,,,,,,,,
,25505-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/2/2020,12/3/2020,,2/19/2021,3/4/2021,yes,no,Brain was in good condition but hard to tell if swelling was present. Slight domed head noticed when animal was alive also sick and weight loss noticed. Animal found dead,,,3/26/2021,no,no glioma observable,yes,no,,,,,,,92,1,0,0,,,,,,,,,,1,,,,,,1
,25548-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,12/4/2020,12/4/2020,,,5/10/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,157,0,0,,,,,,,,,,,,,,,,1,
,25549-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,12/4/2020,12/4/2020,,,5/10/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,157,0,0,,,,,,,,,,,,,,,,1,
,25550-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,12/4/2020,12/4/2020,,,5/10/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,157,0,0,,,,,,,,,,,,,,,,1,
,25595-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,12/9/2020,12/10/2020,,,5/10/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,152,0,0,,,,,,,,,,,,,,,,1,
