mouse_num,tumor_id,patho_est_location,patho_tumor_grade,patho_notes,requests,tumor,mouse_tumor,necropsy_file_comments,strain,virus,tyr_cre_status,gender,dob,injection_date,tumor_noticed,behavior_noticed,death_date,end_date,mri_imaging_date,age_of_tumor_onset,age_of_behavior_onset,age_at_death,tumor_locations,tumor_grade_post_h_e,notes,injected_by,mouse_num_tag,mouse_tag,age_death_cap,exclude,mouse_id,shorthand_strain_name,tyr_cre_status_confirmed,injected_with,number_of_cells_injected,vol_injected,tva_status,birth_date,domed_head_or_observable_tumor_date,behavior_date,brain_harvested,other_organs_harvested,behavior_and_necropsy_notes,fixed_tissue_still_in_ethanol,is_useful_as_a_control_or_otherwise_includes_a_large_tumor,h_e_submission_date,tissues_submitted,brain_h_e_and_ihc_notes,sheri_has_seen_h_e,proof_of_mass,full_slide_scan_of_h_e_on_external_hd,ki67_result,full_slide_scan_of_ki67_on_external_hd,p_erk_result_only_listed_if_it_was_done,full_slide_scan_of_p_erk_on_external_hd,unstained_slides_available,death_age_or_current_age_for_survival_curve,overall_survival_1_if_there_was_any_evidence_of_tumor_visible_before_necropsy_or_after_ihc_behavior_change_or_unexplained_death_0_if_not,tumor_free_survival_1_only_if_there_was_any_abnormal_mass_or_enlargement_visible_upon_necropsy_or_h_e_0_if_mouse_survived_to_150_days_and_had_no_tumor_exclude_if_death_was_early_and_no_hard_proof_of_tumor,glioma_free_survival_1_if_a_glioma_inside_brain_or_infiltrating_the_brain_verified_by_ki67_0_if_no_observable_glioma_is_present_exclude_if_h_e_wasnt_done_or_mouse_was_sacked_before_150_days_for_whatever_reason,cranial_nerve_tumor_anything_in_the_cranial_cavity_but_not_necessarily_infiltrating_or_inside_the_brain_most_likely_located_under_the_brain,intracranial_glioma_or_outside_of_brain_and_still_in_skull_combo_of_previous_2,head_tumor_outside_of_and_connected_to_skull,lymph_node_tumor_wasnt_always_looking_for_but_noticed_when_they_were_big,lower_spinal_cord_tumor_unfortunatly_didnt_start_looking_for_this_until_later,eye_tumor_where_it_was_clear_it_was_the_optical_nerve_and_or_involving_the_eye,auditory_nerve_not_connected_to_skull_like_head_tumors_but_on_head_and_connected_to_skin_sort_of,cutaneous_skin_somewhere_on_body,rib_cage,lethargic_difficulty_breathing_looked_sick,puffy_full_of_gas,paralysis_from_starting_to_drag_hind_legs_to_full_on_immobility,hydrocephalus,non_tumor_related_reason_for_death,nothing_abnormal,found_dead
23788,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-05-24,NA,NA,2020-06-21,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23788-00,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-23,NA,NA,no,no,found dead and unable to necropsy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
23789,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-05-24,NA,NA,2020-07-27,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23789-01,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-23,NA,2020-07-27,yes,no,"completely paralyzed, brain looked normal",NA,NA,2020-08-14,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,65,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
23790,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-05-24,NA,NA,2020-08-13,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23790-01,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-23,2020-07-27,2020-08-13,yes,no,"large head growth, difficulty breathing, brain looked normal if a little small.",NA,NA,2020-08-14,no,no glioma observable,yes,yes,NA,NA,NA,NA,NA,NA,82,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
23791,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-05-24,NA,NA,2020-07-31,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23791-10,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-23,NA,2020-07-27,yes,spinal cord (intact). Casing of tissue pressed up on spinal cord.,"domed head, weak/paralyzed body, difficulty breathing. tumor underneath brain surrounding cranial nerves, very soft necrotic tissue surrounding brain",spinal cord,NA,2020-08-03,no,"tumor under brain, high grade",yes,yes,yes,NA,NA,NA,NA,NA,69,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
23792,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-05-24,NA,NA,2020-08-13,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23792-00,NF-1 Control,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-23,NA,2020-08-05,yes,no,"difficulty breathing, small cranial nerve tumor",NA,NA,2020-08-14,no,"low grade glioma in the center cection of the cerebral cortex, ki67 is slightly higher there, pERK is negative, PTEN is still expressed",yes,yes,yes,positive,yes,negative,yes,1,82,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
23821,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-05-29,NA,NA,2020-08-17,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,1,23821-00,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA-,2020-05-28,NA,NA,yes,no,"TVA-, only embedded to use as a control",NA,1,2020-09-10,no,NA,NA,no,NA,NA,NA,NA,NA,19,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
23822,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-05-29,NA,NA,2020-08-11,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23822-01,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-28,NA,2020-07-27,yes,no,"slight domed head filled with liquid, small necrotic cranil nerve tumor, paralyzed",NA,NA,2020-08-14,no,no glioma observable,yes,yes,NA,NA,NA,NA,NA,NA,75,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
23823,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-05-29,NA,NA,2020-07-21,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23823-03,NF-1 Control,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-28,2020-07-21,2020-07-21,yes,no,Slight domed head and complete paralysis,NA,1,2020-07-23,mass under brain,"glioma is mostly exterior to the brain, but there is also a bit on the bottom of the center section, one section has more Ki67 than another, pERK is more positive on the bit still connected to the brain and not so positive on the exterior tumor, PTEN looks lower for the connected bit, but PTEN has some odd staining artifacts",yes,yes,yes,positive,yes,positive,yes,0,54,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
23824,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-05-29,NA,NA,2020-07-16,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23824-00,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-28,NA,2020-07-08,yes,eye tumor,Growth on head and tumor on eye noted,head tumor and spinal cord,NA,2020-07-23,no,no glioma observable,yes,yes,NA,NA,NA,NA,NA,NA,49,1,1,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23826,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-05-29,NA,NA,2020-07-31,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23826-03,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-28,NA,2020-07-23,yes,no,"weak/paralyzed body, difficulty breathing.Tumor surrounding left posterior cranial nerve",NA,NA,2020-08-03,no,tumor tissue visible under brain,yes,yes,yes,NA,NA,NA,NA,NA,64,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
23828,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-05-29,NA,NA,2020-08-21,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23828-30,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-28,NA,2020-07-23,yes,tumor on side,"Mouse stopped grooming and began acting sickly, large tumor developed on side of it's body and appeared to originate from rib tissue?",tumor,NA,2020-08-25,no,no glioma observable,yes,yes,NA,NA,NA,NA,NA,NA,85,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
23864,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-06-01,NA,NA,2020-08-17,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,1,23864-00,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA-,2020-05-30,NA,NA,yes,no,"TVA-, only fixed to use as a control",brain,NA,NA,no,NA,NA,no,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
23865,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-06-01,NA,NA,2020-09-29,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,1,23865-00,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-30,NA,NA,yes,no,"Mistakenly sacked. Error on cages tab for experimental end date. Brain looked normal, no tumors no behavior. Not too far from experimental endpoint anyway",NA,NA,2020-10-28,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
23866,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-06-01,NA,NA,2020-08-07,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23866-01,NF-1 Control,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-30,2020-07-27,NA,yes,no,"Mouse was weak and sickly with domed head, necropsy showed necrotic tumor enveloping cranial nerves underneath brain.",NA,NA,2020-08-10,no,"high grade glioma on base of center section with vasculature and some form of rosette patterns, evenly high Ki67 positivity and pERK, PTEN is lower than in the normal brain section and mostly just stained blood vessels",yes,yes,yes,positive,yes,positive,yes,1,69,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
23867,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-06-01,NA,NA,2020-08-05,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23867-03,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-05-30,NA,2020-07-28,yes,no,"Brain looked perfectly normal, mouse was completely paralyzed",NA,NA,2020-08-10,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,67,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
23964,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-06-18,NA,NA,2020-09-02,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23964-00,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-06-15,NA,2020-09-01,yes,no,"Mouse was paralyzed, brain looked normal.",NA,NA,2020-09-10,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,79,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
23965,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-06-18,NA,NA,2020-09-15,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23965-01,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-06-15,NA,2020-09-14,yes,no,"Mouse was paralyzed, brain looked normal, necropsy showed tumor surroundign spine at base of spine.",NA,NA,2020-10-28,spinal cord tumor,no glioma observable,yes,yes,NA,NA,NA,NA,NA,NA,92,1,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
23966,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-06-18,NA,NA,2020-10-02,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23966-03,NF-1 Control,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-06-15,NA,2020-09-15,yes,under brain tumor and shoulder tumor,"Brain, tumor underneath brain as well as shoulder tumor. Brain tumor and shoulder tumor used to create cell lines. Frozen sample of nerve tumor as well. Sacked because ms became very sickly",NA,NA,2020-10-28,no,"some tumor can be seen on the edge, tumor is Ki67+",yes,yes,NA,positive,yes,positive,yes,0,109,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
23967,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-06-18,NA,NA,2020-09-15,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23967-10,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-06-15,2020-08-07,NA,yes,no,"Very large tumor encasing half of spine, all of the hips and at base of tail. Head tumor as well, and necrotic tissue underneath brain. Sick and was sacked",NA,NA,2020-10-28,spinal cord tumor,"there is tumor tissue under the brain, tumor ios Ki67+",yes,yes,yes,NA,NA,NA,NA,NA,92,1,1,0,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
23968,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-06-18,NA,NA,2020-09-08,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23968-00,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-06-15,NA,2020-09-02,yes,no,"Mouse was paralyzed, brain looked normal.",NA,NA,2020-09-10,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,85,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
23969,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-06-18,NA,NA,2020-09-02,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23969-01,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-06-15,NA,2020-09-01,yes,no,"Mouse was paralyzed, brain looked normal.",NA,NA,2020-09-10,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,79,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
23970,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-06-18,NA,NA,2020-08-24,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23970-03,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-06-15,2020-07-28,NA,yes,head tumor,"Very large tumor growing over skull, mouse became sickly and was sacked. Brain appeared normal",NA,NA,2020-08-25,no,no glioma observable,yes,yes,NA,NA,NA,NA,NA,NA,70,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
23971,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-06-18,NA,NA,2020-09-02,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,23971-10,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-06-15,NA,2020-09-01,yes,no,"Mouse was paralyzed, brain looked normal.",NA,NA,2020-09-10,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,79,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
24801,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-09-22,NA,NA,2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24801-00,NF-1 Control,NA,Rcas Cre,5x105,5uL,TVA+,2020-09-22,NA,NA,yes,no,end of experiment,NA,NA,2021-03-26,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,164,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
24802,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-09-22,NA,NA,2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24802-01,NF-1 Control,NA,Rcas Cre,5x105,5uL,TVA+,2020-09-22,NA,NA,yes,no,end of experiment,NA,NA,2021-03-26,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,164,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
24803,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-09-22,NA,NA,2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24803-03,NF-1 Control,NA,Rcas Cre,5x105,5uL,TVA+,2020-09-22,NA,NA,yes,no,end of experiment,NA,NA,2021-03-26,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,164,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
24804,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,F,NA,2020-09-22,NA,NA,2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,1,24804-10,NF-1 Control,NA,Rcas Cre,5x105,5uL,TVA-,2020-09-22,NA,NA,yes,no,"end of experiment, TVA- so don't include in the experiment, but could possibly use for a control sample.",NA,1,2021-03-26,no,no glioma,yes,no,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24805,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-09-22,NA,NA,2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24805-00,NF-1 Control,NA,Rcas Cre,5x105,5uL,TVA+,2020-09-22,NA,NA,yes,no,end of experiment,NA,NA,2021-03-26,no,"no glioma observable, but Sheri noticed a bundle of nerves",yes,no,NA,NA,NA,NA,NA,NA,164,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
24806,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-09-22,NA,NA,2020-12-17,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,1,24806-01,NF-1 Control,NA,Rcas Cre,5x105,5uL,TVA+,2020-09-22,NA,NA,no,no,Fighting so sacked not worth keeping alone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24807,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-09-22,NA,NA,2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24807-03,NF-1 Control,NA,Rcas Cre,5x105,5uL,TVA+,2020-09-22,NA,NA,yes,no,"end of experiment, looked normal",NA,NA,2021-03-26,no,"no glioma observable, but Sheri noticed a bundle of nerves",yes,no,NA,NA,NA,NA,NA,NA,164,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
24986,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-10-12,NA,NA,2020-12-18,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24986-00,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-10-11,NA,2020-12-18,yes,no,"Mouse was paralyzed, brain looked normal.",NA,NA,2021-02-23,no,"Sheri thinks she sees a possible low grade tumor, nothing seen in Ki67 slide",yes,no,yes,negative,NA,negative,NA,2,68,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
24987,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-10-12,NA,NA,2020-12-18,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24987-01,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-10-11,NA,2020-12-18,yes,no,"Mouse was paralyzed, brain looked normal.",NA,NA,2021-02-23,no,no glioma observable,yes,no,NA,NA,NA,NA,NA,NA,68,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
24988,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-10-12,NA,NA,2021-02-16,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24988-03,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-10-11,NA,2021-02-16,yes,no,"Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.Very disteneded abdomen was due to all digestive organs being maximally filled with gas including stomach.",NA,NA,2021-02-23,no,"looks like there are pieces of tumor in the slide, but disconnected from the brain",yes,yes,yes,NA,NA,NA,NA,NA,128,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
24989,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,NA,M,NA,2020-10-12,NA,NA,2020-12-24,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,24989-10,NF-1 Control,NA,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-10-11,2020-12-09,NA,yes,head tumor,"Large head tumor brain appeared normal. Tumor samples, frozen, H&E and cell line made",extra head tumor with brain,NA,2021-02-23,head tumor,"no glioma observable, head tumor is there",yes,yes,NA,NA,NA,NA,NA,NA,74,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25025,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,NA,F,NA,2020-10-14,NA,NA,2021-01-27,NA,NA,NA,NA,NA,NA,NA,NA,Rick,NA,NA,NA,NA,25025-00,NF-1 Project,Tg/+,RCAS Cre-U6sgRNA-ex2-NF1,5x105,5uL,TVA+,2020-10-13,2021-01-21,2021-01-27,yes,spinal cord,"domerd head noticed 1/21/20, became lethargic on 1/27, head is domed and back is hunched, fixed entire brain, brain stem and spinal cord looked enlarged, but not a clear tumor to split three ways, just trypsinized the brainstem/spinal cord for a cell line",NA,1,2021-03-26,no,"large high grade glioma present, Ki67+",yes,yes,NA,positive,yes,positive,yes,0,106,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
